Snake,County,Latitude,Longitude,Species_Genotype,PC1,PC2,,,
CRF2519A,Captive_Birth,39.33556,-120.2069,sirtalis_WT,0.626885474,-0.334173893,,,
JSR027,Placer,39.33556,-120.2069,sirtalis_WT,0.626881628,-0.33379502,,,
CRF2519,Placer,39.33556,-120.2069,sirtalis_WT,0.626844407,-0.33012803,,,
CRF2519E,Captive_Birth,39.33556,-120.2069,sirtalis_WT,0.626844407,-0.33012803,,,
CRF2458C,Captive_Birth,39.89663889,-122.9875,sirtalis_WT,-0.781947275,-0.150515771,,,
CRF2415,Placer,39.315517,-120.614933,sirtalis_WT,0.457713952,-0.288955332,,,
MTJH430,Lane,44.21357,-123.98241,sirtalis_WT,-2.800731504,-0.387661288,,,
CRF2521,Placer,39.33556,-120.2069,sirtalis_WT,0.626748586,-0.320687683,,,
CRF2517,Placer,39.33556,-120.2069,sirtalis_WT,0.626744023,-0.320238143,,,
CRF2417,Placer,39.315517,-120.614933,sirtalis_WT,0.457688856,-0.28648286,,,
CRF2520,Placer,39.33556,-120.2069,sirtalis_WT,0.62670752,-0.31664182,,,
CRF2416,Placer,39.315517,-120.614933,sirtalis_WT,0.457654634,-0.283111308,,,
CRF2547,Placer,39.2238,-120.13775,sirtalis_WT,0.697703098,-0.310872153,,,
CRF2465,Mendocino,39.725189,-122.843814,sirtalis_WT,-0.656852421,-0.136922712,,,
CRF2462,Mendocino,39.88094444,-122.9916667,sirtalis_WT,-0.778219878,-0.124765639,,,
CRF2458,Mendocino,39.89663889,-122.9875,sirtalis_WT,-0.782273523,-0.118373638,,,
CRF2458D,Captive_Birth,39.89663889,-122.9875,sirtalis_WT,-0.782273523,-0.118373638,,,
CRF2462C,Captive_Birth,39.88094444,-122.9916667,sirtalis_WT,-0.77829973,-0.116898683,,,
CRF2523D,Captive_Birth,39.33556,-120.2069,sirtalis_WT,0.626337923,-0.280229054,,,
CRF2523G,Captive_Birth,39.33556,-120.2069,sirtalis_WT,0.626337923,-0.280229054,,,
REdC10,Mendocino,39.74717,-123.63421,sirtalis_WT,-1.007057217,-0.041117872,,,
CRF2457,Mendocino,39.89663889,-122.9875,sirtalis_WT,-0.782718408,-0.074543457,,,
